Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
AMP,AMP Ltd,8/04/2011,DRP,5870600193094700,,Netwealth,232,6,,238,,,,
WHNO,WHL Energy Limited,4/04/2011,Bought,0638100204280800,,Netwealth,,540000,,540000,,,,
FML,Focus Minerals Ltd,5/02/2010,Bought,0606603552270000,,Netwealth,360000,80000,,440000,,,,
FML,Focus Minerals Ltd,9/02/2010,Bought,0606603552513900,,Netwealth,440000,80000,,520000,,,,
WCU,White Canyon Uranium Ltd,16/02/2010,Exercise of Options,6124100000176100,,Netwealth,,200000,,200000,,,,
WCUO,White Canyon Uranium Ltd,16/02/2010,Exercise of Options,6124100000176100,,Netwealth,560000,,200000,360000,,,,
JMS,Jupiter Mines Ltd,23/11/2010,Sold,0140213708037000,,Commsec,6000,,6000,0,,,,
RMG,RMG Ltd,1/11/2010,Rights Entitlements,5934300000712500,,Commsec,380000,63334,,443334,,,,
RXLOA,Rox Resources Ltd,1/11/2010,Bought,0140213664255900,,Commsec,,120000,,120000,,,,
RXLOA,Rox Resources Ltd,29/11/2010,Bought,0140213719426500,,Commsec,120000,70000,,190000,,,,
ADY,Admiralty Resources NL,9/12/2010,Consolidation - 5:1,5885300001829800,,Netwealth,19500,,15600,3900,,,,
IDG,Indago Resources Ltd,7/12/2010,Consolidation - 10:1,6053700004237600,,Netwealth,8760,,7884,876,,,,
NAB,National Australia Bank,17/12/2010,DRP,6025400313820800,,Netwealth,143,5,,148,,,,
SDL,Sundance Resources Ltd,30/12/2010,Sold,0638100158724100,,Netwealth,72000,,40000,32000,,,,
IDGOA,Indago Resources Ltd,7/12/2010,Consolidation - 10:1,6053700004355700,,Netwealth,1643,,1478,165,,,,
MNE,Mining Group Ltd,6/03/2014,Bought,0638100834135500,,Netwealth,320000,135000,,455000,,,,
MYG,Mutiny Gold Ltd,28/03/2014,Rights Entitlements,6062000000773100,,Netwealth,44000,4400,,48400,,,,
AKI,African Iron Ltd,23/11/2011,Sold,0638100351451800,,Netwealth,17000,,17000,0,,,,
NMR,Nimrodel Resources Ltd,24/11/2011,Bought,0638100352402300,,Netwealth,,120000,,120000,,,,
EXE,Exoma Energy Ltd,17/02/2012,Bought,0140214354536300,,Commsec,,24000,,24000,,,,
WHN,WHL Energy Limited,15/02/2012,Sold,0140214350933800,,Commsec,106000,,106000,0,,,,
MNE,Mining Group Ltd,28/02/2014,Bought,0638100830218900,,Netwealth,150000,170000,,320000,,,,
SHP,Shoply Ltd,7/02/2014,Bought,0638100814458800,,Netwealth,,70422,,70422,,,,
SHP,Shoply Ltd,12/02/2014,Bought,0638100817530200,,Netwealth,70422,159578,,230000,,,,
SHP,Shoply Ltd,27/02/2014,Sold,0638100828838100,,Netwealth,230000,,230000,0,,,,
TZL,TZ Ltd,5/02/2014,Sold,0638100812298900,,Netwealth,28000,,28000,0,,,,
NAB,National Australia Bank,18/12/2013,DRP,6025400406074300,,Netwealth,170,4,,174,,,,
AHZ,Admedus Ltd,15/11/2013,Sold,0638100749081000,,Netwealth,38000,,38000,0,,,,
MNE,Mining Group Ltd,18/11/2013,Bought,0638100750227000,,Netwealth,,150000,,150000,,,,
MMC,Marengo Mining Ltd,11/09/2013,Sold,0140215020993400,,Commsec,380000,,180000,200000,,,,
MMC,Marengo Mining Ltd,16/09/2013,Sold,0140215026239700,,Commsec,200000,,200000,0,,,,
NEA,Nearmap Ltd,27/09/2013,Bought,0140215041495500,,Commsec,,13000,,13000,,,,
MMC,Marengo Mining Ltd,19/08/2013,Bought,0140214992532200,,Commsec,,3948,,3948,,,,
MMC,Marengo Mining Ltd,20/08/2013,Bought,0140214993637100,,Commsec,3948,376052,,380000,,,,
WPL,Woodside Petroleum Ltd,12/08/2013,Bought,0140214983583800,,Commsec,,255,,255,,,,
WPL,Woodside Petroleum Ltd,16/08/2013,Sold,0140214989877300,,Commsec,255,,255,0,,,,
BGS,Birimian Gold Ltd,27/06/2013,Bought,0638100656093500,,Netwealth,,260000,,260000,,,,
BLT,Benitec Biopharma,11/06/2013,Sold,0638100644221500,,Netwealth,190000,,190000,0,,,,
NAB,National Australia Bank,20/06/2013,Bought,0638100651096700,,Netwealth,,170,,170,,,,
SDL,Sundance Resources Ltd,12/06/2013,Bought,0638100645549500,,Netwealth,,25000,,25000,,,,
CCCO,Continental Coal Ltd,26/06/2013,Allotment of Options,5942700003696500,,Netwealth,,26000,,26000,,,,
CCCO,Continental Coal Ltd,26/06/2013,Allotment of Options,5942700003711100,,Commsec,,14000,,14000,,,,
CDB,Condor Blanco Mines Ltd,15/07/2013,Bought,0140214954406700,,Commsec,,620000,,620000,,,,
CDB,Condor Blanco Mines Ltd,18/07/2013,Sold,0140214957906700,,Commsec,620000,,620000,0,,,,
CDB,Condor Blanco Mines Ltd,23/07/2013,Bought,0140214962694200,,Commsec,,620000,,620000,,,,
CTR,Citation Resources,8/05/2015,Consolidation - 100:1,6295600000021600,,Netwealth,515000,,509850,5150,,,,
MGX,Mount Gibson Iron Ltd,21/05/2015,Bought,0638101159571000,,Netwealth,,20000,,20000,,,,
MGX,Mount Gibson Iron Ltd,26/05/2015,Sold,0638101168115400,,Netwealth,20000,,20000,0,,,,
MMC,Marengo Mining Ltd,27/05/2015,Sold,0638101169589800,,Netwealth,320000,,320000,0,,,,
PSY,Panorama Synergy Ltd,12/05/2015,Sold,0638101147733600,,Netwealth,23000,,23000,0,,,,
S32,South32,25/05/2015,Distribution in Specie,6266100005600400,from: BHP,Netwealth,,160,,160,,,,
AMP,AMP Ltd,10/04/2015,DRP,5870600243918000,,Netwealth,289,6,,295,,,,
CNN,Cardia Bioplastics Ltd,20/04/2015,Consolidation - 100:1,6137400137449600,,Netwealth,750000,,750000,0,,,,
CNN,Cardia Bioplastics Ltd,20/04/2015,Consolidation - 100:1,6137400137449600,,Netwealth,,7500,,7500,,,,
CNN,Cardia Bioplastics Ltd,22/04/2015,Security Code Change,001295B1DOO2WC00,to: SES,Netwealth,7500,,7500,0,,,,
SES,SECOS Group Ltd,22/04/2015,Security Code Change,001295B1DOO2WC00,from: CNN,Netwealth,,7500,,7500,,,,
CNNOB,Cardia Bioplastics Ltd,20/04/2015,Consolidation - 100:1,6137400137476200,,Netwealth,112500,,112500,0,,,,
CNNOB,Cardia Bioplastics Ltd,20/04/2015,Consolidation - 100:1,6137400137476200,,Netwealth,,1125,,1125,,,,
CNNOB,Cardia Bioplastics Ltd,22/04/2015,Security Code Change,001295B1DOP6WW00,to: SESOB,Netwealth,1125,,1125,0,,,,
