Confirmation Number, Order Number, Trade Date, Buy / Sell, Stock Code, Units, Average Price, Brokerage, Net Proceeds, Settlement Date, Contract Status
26405487,Unk-26405487,27/07/2007,B,MLS,116000,.086000,29.950000,10005.950000,01/08/2007,Confirmed
26400867,Unk-26400867,27/07/2007,B,AEX,238000,.042000,29.950000,10025.950000,01/08/2007,Confirmed
26391661,Unk-26391661,27/07/2007,S,JMS,38000,.260000,29.950000,9850.050000,01/08/2007,Confirmed
26383542,Unk-26383542,26/07/2007,B,RMI,68000,.145000,29.950000,9889.950000,31/07/2007,Confirmed
26377775,Unk-26377775,26/07/2007,S,CBH,15000,.655000,29.950000,9795.050000,31/07/2007,Confirmed
26375393,Unk-26375393,26/07/2007,B,RMI,64000,.155000,29.950000,9949.950000,31/07/2007,Confirmed
26375095,Unk-26375095,26/07/2007,B,CUL,54000,.185000,29.950000,10019.950000,31/07/2007,Confirmed
26370308,Unk-26370308,26/07/2007,B,APG,74000,.140000,32.110000,10392.110000,31/07/2007,Confirmed
26368616,Unk-26368616,26/07/2007,S,SRI,74000,.135000,29.950000,9960.050000,31/07/2007,Confirmed
26363846,Unk-26363846,26/07/2007,B,MLSOA,160000,.061000,29.950000,9789.950000,31/07/2007,Confirmed
26363824,Unk-26363824,26/07/2007,B,CBH,15000,.655000,29.950000,9854.950000,31/07/2007,Confirmed
26362859,Unk-26362859,26/07/2007,B,BLR,44000,.225000,29.950000,9929.950000,31/07/2007,Confirmed
26361997,Unk-26361997,26/07/2007,S,RMI,71000,.140000,29.950000,9910.050000,31/07/2007,Confirmed
26361819,Unk-26361819,26/07/2007,S,CUL,114000,.175000,61.840000,19888.160000,31/07/2007,Confirmed
26352969,Unk-26352969,25/07/2007,S,BLR,44000,.225000,29.950000,9870.050000,30/07/2007,Confirmed
26351958,Unk-26351958,25/07/2007,B,RMI,74000,.135000,29.950000,10019.950000,30/07/2007,Confirmed
26350882,Unk-26350882,25/07/2007,B,CUL,64000,.155000,29.950000,9949.950000,30/07/2007,Confirmed
26346606,Unk-26346606,25/07/2007,B,BLR,44000,.225000,29.950000,9929.950000,30/07/2007,Confirmed
26343126,Unk-26343126,25/07/2007,B,SRI,74000,.135000,29.950000,10019.950000,30/07/2007,Confirmed
26335057,Unk-26335057,25/07/2007,S,TEX,49500,.215000,32.990000,10609.510000,30/07/2007,Confirmed
26329576,Unk-26329576,25/07/2007,B,CUL,74000,.135000,29.950000,10019.950000,30/07/2007,Confirmed
26329169,Unk-26329169,25/07/2007,S,CBH,15000,.640000,29.950000,9570.050000,30/07/2007,Confirmed
26328392,Unk-26328392,25/07/2007,S,AGM,12500,.770000,29.950000,9595.050000,30/07/2007,Confirmed
26324744,Unk-26324744,24/07/2007,B,CBH,15000,.650000,29.950000,9779.950000,27/07/2007,Confirmed
26324634,Unk-26324634,24/07/2007,B,AGM,12500,.790000,29.950000,9904.950000,27/07/2007,Confirmed
26318584,Unk-26318584,24/07/2007,S,CUL,70000,.145000,31.460000,10118.540000,27/07/2007,Confirmed
26318456,Unk-26318456,24/07/2007,S,MLS,110000,.092000,31.370000,10088.630000,27/07/2007,Confirmed
26316678,Unk-26316678,24/07/2007,B,TEX,49500,.200000,29.950000,9929.950000,27/07/2007,Confirmed
26315369,Unk-26315369,24/07/2007,B,CUL,70000,.140000,29.950000,9829.950000,27/07/2007,Confirmed
26307719,Unk-26307719,24/07/2007,S,CBH,15000,.665000,29.950000,9945.050000,27/07/2007,Confirmed
26301204,Unk-26301204,24/07/2007,B,CBH,15000,.655000,29.950000,9854.950000,27/07/2007,Confirmed
26295467,Unk-26295467,23/07/2007,B,MLS,110000,.090000,29.950000,9929.950000,26/07/2007,Confirmed
26284041,Unk-26284041,23/07/2007,S,AGM,12000,.805000,29.950000,9630.050000,26/07/2007,Confirmed
26283468,Unk-26283468,23/07/2007,S,JMS,35000,.275000,29.950000,9595.050000,26/07/2007,Confirmed
26282067,Unk-26282067,23/07/2007,B,JMS,35000,.280000,29.950000,9829.950000,26/07/2007,Confirmed
26276843,Unk-26276843,23/07/2007,B,AGM,12000,.820000,29.950000,9869.950000,26/07/2007,Confirmed
25750051,Unk-25750051,22/06/2007,S,YML,25000,.400000,31.000000,9969.000000,27/06/2007,Confirmed
25741397,Unk-25741397,22/06/2007,S,AEX,190000,.053000,31.220000,10038.780000,27/06/2007,Confirmed
25741356,Unk-25741356,22/06/2007,S,MLS,105000,.096000,31.250000,10048.750000,27/06/2007,Confirmed
25739732,Unk-25739732,22/06/2007,B,AEX,190000,.052000,29.950000,9909.950000,27/06/2007,Confirmed
25739019,Unk-25739019,22/06/2007,B,MLS,105000,.095000,29.950000,10004.950000,27/06/2007,Confirmed
25738368,Unk-25738368,22/06/2007,B,YML,25000,.394819,29.950000,9900.440000,27/06/2007,Confirmed
25734581,Unk-25734581,22/06/2007,S,RMI,56135,.059000,.000000,3311.970000,27/06/2007,Confirmed
25731403,Unk-25731403,21/06/2007,S,RMI,108865,.060993,29.950000,6610.090000,26/06/2007,Confirmed
25716475,Unk-25716475,21/06/2007,B,RMI,165000,.060000,29.950000,9929.950000,26/06/2007,Confirmed
25665165,Unk-25665165,19/06/2007,S,WGP,55000,.159780,29.950000,8757.980000,22/06/2007,Confirmed
25645187,Unk-25645187,18/06/2007,S,GDNO,138500,.121627,52.220000,16793.130000,21/06/2007,Confirmed
